City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sinop,41.7711,41.7711,10.82,90,100,2.45,TR,1699542434
1,tangalle,6.024,6.024,24.09,94,100,3.41,LK,1699542434
2,thompson,55.7435,55.7435,-7.83,85,95,3.64,CA,1699542435
3,kyren,51.6828,51.6828,-14.47,87,2,0.89,RU,1699542435
4,ushuaia,-54.8,-54.8,10.81,39,0,6.17,AR,1699542436
5,iqaluit,63.7506,63.7506,-1.28,68,100,6.71,CA,1699542436
6,puerto natales,-51.7236,-51.7236,13.25,35,40,11.32,CL,1699542437
7,berezovyy,51.6667,51.6667,-8.52,94,100,1.57,RU,1699542437
8,waseca,44.0777,44.0777,3.57,74,0,7.16,US,1699542438
9,invercargill,-46.4,-46.4,2.79,91,3,1.65,NZ,1699542339
10,fale old settlement,-9.3852,-9.3852,28.43,73,100,2.02,TK,1699542438
11,avarua,-21.2078,-21.2078,23.03,83,40,5.14,CK,1699542439
12,santa maria del oro,25.9333,25.9333,17.56,74,100,1.99,MX,1699542439
13,bredasdorp,-34.5322,-34.5322,20.59,50,0,4.96,ZA,1699542440
14,yellowknife,62.456,62.456,-0.88,98,91,5.36,CA,1699542440
15,waitangi,-43.9535,-43.9535,8.29,74,95,13.14,NZ,1699542441
16,baise city,23.8997,23.8997,23.17,92,13,0.76,CN,1699542441
17,port-aux-francais,-49.35,-49.35,6.05,94,100,12.81,TF,1699542441
18,new norfolk,-42.7826,-42.7826,15.4,98,8,1.39,AU,1699542442
19,guerrero negro,27.9769,27.9769,18.24,75,0,1.03,MX,1699542442
20,port alfred,-33.5906,-33.5906,19.77,71,0,3.41,ZA,1699542442
21,bilibino,68.0546,68.0546,-21.0,99,98,1.24,RU,1699542443
22,bethel,41.3712,41.3712,10.42,73,100,2.06,US,1699542443
23,tumayr,25.7039,25.7039,24.51,23,0,3.63,SA,1699542443
24,ribeira grande,38.5167,38.5167,21.22,94,75,9.83,PT,1699542443
25,les cayes,18.2,18.2,30.86,61,4,2.89,HT,1699542444
26,wildberg,48.6234,48.6234,11.72,85,100,6.57,DE,1699542445
27,kartaly,53.0522,53.0522,6.12,66,66,4.92,RU,1699542445
28,huatabampo,26.8333,26.8333,24.07,61,0,2.65,MX,1699542264
29,adamstown,-25.066,-25.066,22.33,87,100,6.47,PN,1699542446
30,tevriz,57.509,57.509,-0.6,82,93,2.97,RU,1699542446
31,edinburgh of the seven seas,-37.0676,-37.0676,13.0,75,18,5.67,SH,1699542447
32,antsiranana,-12.2787,-12.2787,26.24,80,16,4.67,MG,1699542447
33,grytviken,-54.2811,-54.2811,1.55,99,99,2.25,GS,1699542447
34,nar'yan-mar,67.6713,67.6713,0.62,100,100,4.02,RU,1699542448
35,hawaiian paradise park,19.5933,19.5933,21.69,89,75,2.57,US,1699542448
36,happy valley-goose bay,53.3168,53.3168,-0.83,74,100,5.14,CA,1699542449
37,margaret river,-33.95,-33.95,11.8,65,77,4.09,AU,1699542449
38,qaqortoq,60.7167,60.7167,-0.54,89,96,1.91,GL,1699542449
39,kerikeri,-35.2268,-35.2268,12.73,92,100,1.52,NZ,1699542450
40,el calafate,-50.3408,-50.3408,8.84,54,14,3.02,AR,1699542450
41,whitehorse,60.7161,60.7161,4.43,70,75,8.75,CA,1699542210
42,ilulissat,69.2167,69.2167,-2.99,86,100,4.63,GL,1699542450
43,coquimbo,-29.9533,-29.9533,16.84,76,100,4.68,CL,1699542451
44,hermanus,-34.4187,-34.4187,19.63,64,0,5.78,ZA,1699542451
45,axim,4.8699,4.8699,27.6,78,48,4.29,GH,1699542451
46,blackmans bay,-43.0167,-43.0167,14.74,93,2,2.47,AU,1699542452
47,lata,40.1629,40.1629,16.15,65,99,2.67,PT,1699542452
48,bochum,51.4833,51.4833,11.35,75,100,1.34,DE,1699542453
49,hamilton,39.1834,39.1834,14.32,73,40,6.69,US,1699542185
50,nuuk,64.1835,64.1835,-2.66,80,75,3.09,GL,1699542204
51,olonkinbyen,70.9221,70.9221,-1.57,71,100,3.68,SJ,1699542453
52,stanley,54.868,54.868,7.66,83,20,1.03,GB,1699542453
53,ust-nera,64.5667,64.5667,-30.35,99,82,1.72,RU,1699542454
54,pyt-yakh,60.7499,60.7499,-1.3,86,53,4.28,RU,1699542454
55,albany,42.6001,42.6001,4.76,78,100,3.57,US,1699542454
56,salinopolis,-0.6136,-0.6136,28.98,72,84,4.88,BR,1699542455
57,port mathurin,-19.6833,-19.6833,25.05,70,1,7.25,MU,1699542455
58,anadyr,64.75,64.75,-6.72,79,47,3.0,RU,1699542455
59,wailua homesteads,22.0669,22.0669,25.44,78,0,9.26,US,1699542456
60,lorengau,-2.0226,-2.0226,26.75,86,100,4.82,PG,1699542456
61,tiksi,71.6872,71.6872,-18.84,93,100,3.63,RU,1699542456
62,newman,37.3138,37.3138,5.72,47,1,0.85,US,1699542457
63,constantia,44.1833,44.1833,13.38,44,5,2.11,RO,1699542241
64,macapa,0.0389,0.0389,32.99,62,40,7.2,BR,1699542181
65,tiznit,29.5833,29.5833,26.15,21,45,3.44,MA,1699542458
66,nova sintra,14.8667,14.8667,22.53,68,98,6.88,CV,1699542458
67,killeen,31.1171,31.1171,22.45,97,75,3.6,US,1699542409
68,puerto ayora,-0.7393,-0.7393,27.98,100,100,2.24,EC,1699542459
69,khanty-mansiysk,61.0042,61.0042,-2.94,93,0,1.79,RU,1699542459
70,amursk,50.2261,50.2261,-6.68,88,100,5.35,RU,1699542460
71,klyuchi,52.2667,52.2667,1.46,70,40,4.04,RU,1699542460
72,tazacorte,28.629,28.629,24.54,61,40,7.72,ES,1699542460
73,xixiang,35.1628,35.1628,6.95,39,81,3.39,CN,1699542461
74,rio grande,-32.035,-32.035,26.06,57,18,3.24,BR,1699542199
75,labrador city,52.9463,52.9463,-6.12,84,100,4.71,CA,1699542461
76,san patricio,28.017,28.017,27.15,77,100,4.49,US,1699542461
77,verkhniy rohachyk,47.2505,47.2505,11.32,53,88,6.43,UA,1699542462
78,west island,-12.1568,-12.1568,26.99,83,40,4.12,CC,1699542462
79,san luis de la loma,17.2706,17.2706,28.14,70,84,1.45,MX,1699542462
80,prince rupert,54.3161,54.3161,9.83,86,100,19.03,CA,1699542322
81,pundong,-7.9522,-7.9522,25.54,87,100,0.86,ID,1699542463
82,shani,10.2162,10.2162,38.7,14,99,0.95,NG,1699542463
83,karratha,-20.7377,-20.7377,30.84,35,0,5.41,AU,1699542463
84,afaahiti,-17.75,-17.75,21.93,85,92,7.08,PF,1699542464
85,peace river,56.2501,56.2501,-2.97,98,20,1.03,CA,1699542245
86,kralendijk,12.15,12.15,31.99,74,40,9.26,BQ,1699542464
87,robertsport,6.7533,6.7533,28.35,72,42,3.67,LR,1699542464
88,touros,-5.1989,-5.1989,30.44,52,0,8.05,BR,1699542465
89,uturoa,-16.7333,-16.7333,26.27,79,14,7.15,PF,1699542465
90,sinabang,2.4803,2.4803,26.19,82,99,0.54,ID,1699542465
91,grand falls-windsor,48.9332,48.9332,2.5,92,100,3.58,CA,1699542466
92,san antonio de pale,-1.4014,-1.4014,26.19,78,22,4.91,GQ,1699542466
93,east london,-33.0153,-33.0153,21.52,68,20,3.6,ZA,1699542276
94,tanout,14.9709,14.9709,34.1,9,82,2.47,NE,1699542466
95,kumeny,58.1089,58.1089,4.02,94,99,2.12,RU,1699542467
96,dover,39.1582,39.1582,18.94,77,0,4.63,US,1699542269
97,pacific grove,36.6177,36.6177,11.47,61,0,1.54,US,1699542294
98,utrik,11.2278,11.2278,27.83,78,99,9.98,MH,1699542468
99,kavaratti,10.5669,10.5669,28.34,74,100,2.78,IN,1699542468
100,margate,51.3813,51.3813,9.94,80,100,1.79,GB,1699542468
101,tidjikja,18.5564,18.5564,31.34,11,0,4.21,MR,1699542469
102,birnin kebbi,12.4539,12.4539,37.07,10,70,1.37,NG,1699542469
103,burao,9.5221,9.5221,24.64,46,10,5.55,SO,1699542469
104,pangai,-19.8,-19.8,24.87,84,100,6.18,TO,1699542470
105,isafjordur,66.0755,66.0755,3.01,73,88,3.73,IS,1699542470
106,pilibangan,29.45,29.45,25.97,29,2,1.14,IN,1699542470
107,udachny,66.4167,66.4167,-14.2,91,100,1.97,RU,1699542471
108,zouerate,22.7187,22.7187,29.33,18,0,6.32,MR,1699542471
109,mozarlandia,-14.7447,-14.7447,37.64,24,0,3.32,BR,1699542472
110,tazovsky,67.4667,67.4667,-3.06,86,100,8.74,RU,1699542472
111,san carlos de bariloche,-41.1456,-41.1456,14.86,15,0,0.0,AR,1699542472
112,hani,38.4167,38.4167,15.34,39,97,0.59,TR,1699542472
113,punta arenas,-53.15,-53.15,10.06,43,100,10.38,CL,1699542473
114,papatowai,-46.5619,-46.5619,3.53,83,4,1.45,NZ,1699542473
115,port elizabeth,-33.918,-33.918,20.73,59,0,0.89,ZA,1699542473
116,cacu,-18.5567,-18.5567,39.49,18,11,2.0,BR,1699542474
117,weno,7.4515,7.4515,28.12,81,98,9.7,FM,1699542474
118,longyearbyen,78.2186,78.2186,-3.09,100,100,1.03,SJ,1699542205
119,antsohihy,-14.8796,-14.8796,29.19,62,17,4.07,MG,1699542474
120,felipe carrillo puerto,19.5833,19.5833,28.31,65,73,1.2,MX,1699542475
121,chibougamau,49.9168,49.9168,-9.21,79,75,4.12,CA,1699542256
122,nagqu,31.5,31.5,-6.54,63,62,1.16,CN,1699542475
123,mora,11.0461,11.0461,36.86,12,87,4.57,CM,1699542476
124,kismayo,-0.3582,-0.3582,27.31,78,95,3.68,SO,1699542476
125,sinan,34.8262,34.8262,14.06,88,100,14.35,KR,1699542476
126,tikrit,34.6071,34.6071,24.05,26,6,3.24,IQ,1699542477
127,callao,-12.0667,-12.0667,24.84,83,100,3.6,PE,1699542477
128,el granada,37.5027,37.5027,13.05,65,20,0.0,US,1699542477
129,talnakh,69.4865,69.4865,-5.44,91,100,8.14,RU,1699542477
130,city of balikpapan,-1.242,-1.242,25.97,94,20,0.0,ID,1699542478
131,xingtai,37.0631,37.0631,4.17,29,3,1.44,CN,1699542478
132,lebu,-37.6167,-37.6167,13.48,69,0,8.49,CL,1699542478
133,naze,28.3667,28.3667,23.1,75,86,4.9,JP,1699542479
134,vilyuchinsk,52.9306,52.9306,-1.85,80,82,3.66,RU,1699542479
135,lihue,21.9789,21.9789,25.77,72,0,9.26,US,1699542471
136,metlili chaamba,32.2667,32.2667,21.9,45,100,5.14,DZ,1699542480
137,manokwari,-0.8667,-0.8667,25.9,85,81,3.09,ID,1699542480
138,badger,64.8,64.8,3.14,63,100,5.66,US,1699542480
139,keflavik,64.0049,64.0049,4.24,75,0,3.6,IS,1699542481
140,petropavlovsk-kamchatsky,53.0452,53.0452,-2.67,73,20,9.39,RU,1699542481
141,cabedelo,-6.9811,-6.9811,31.37,58,33,7.05,BR,1699542403
142,fraserburgh,57.6874,57.6874,6.73,77,2,3.51,GB,1699542482
143,ishigaki,24.3448,24.3448,26.34,82,21,3.32,JP,1699542482
144,manicore,-5.8092,-5.8092,37.55,34,19,1.87,BR,1699542482
145,l'alcora,40.0667,40.0667,19.56,31,63,1.12,ES,1699542482
146,kronach,50.2396,50.2396,10.31,86,100,20.12,DE,1699542483
147,chonchi,-42.6128,-42.6128,11.56,46,23,1.84,CL,1699542483
148,general acha,-37.377,-37.377,24.25,24,4,5.77,AR,1699542483
149,feicheng,35.2606,35.2606,6.08,38,100,4.86,CN,1699542331
150,inverell,-29.7833,-29.7833,17.04,96,100,1.27,AU,1699542484
151,mil'kovo,55.6078,55.6078,7.21,87,100,3.0,RU,1699542484
152,madang,-5.2246,-5.2246,24.49,92,96,1.39,PG,1699542484
153,oranjemund,-28.55,-28.55,19.67,64,0,7.77,NA,1699542485
154,kharabali,47.4196,47.4196,12.42,90,100,7.46,RU,1699542485
155,porto novo,6.4965,6.4965,30.29,64,100,4.04,BJ,1699542485
156,atafu village,-8.5421,-8.5421,28.55,69,100,2.99,TK,1699542485
157,namtsy,62.7161,62.7161,-26.13,99,95,0.45,RU,1699542486
